GramBank ID	Hedvigs thematic order	Feature	Possible Values	Clarifying Comments	OLD DO NOT USE Draft of clarifying comments to outsiders (before Jeremy, Hannah and Hedvigs draft)	Feature patron	Suggested standardised comments	Suggested standardised comments in dropdown menu form	progress on new description	Feature question in French	Relevant unit(s)	Function	Formal means	Unnamed: 14	Dependencies	Legacy status	GramBank-status	Work in progress comment	Jeremy - Estimated action (keep identical as it is, keep copy but also add new better version, add hyper, add hypo, delete)	Hedvig - Estimated action (keep identical as it is, keep copy but also add new better version, add hyper, add hypo, delete)	Hedvig - Estimated action (add complement?)	Hedvig - Estimated action commentary	Wordhood issues	NTS or GramBank?	dependencies in the grambank features	Inspired by WALS	di garbo	have been dealt with during homework1 (Jeremy, Hanna, Hedvig)	Africa-spec	Complementing F1-F160	other complements	Very hard to deny	Prone to misunderstandings among researchers	Requires extensive data on the language	Design (just from Hedvigs memory)	"Relevant for Nick and ""Parabank"""	Last edited	Is there a typological survey that already covers this feature somehow?	Previous comments	Old comments	Hedvig's meta-comment (mostly to herself)	Harald's clarification and/or reformulation	Old feature number	Old feature	db_Object	db_Domain
GB148	Hedvigs_thematic_order035	Is there a morphologically marked antipassive?	3:?;1: present;2:n;0: absent	Is there a marker on the verb that decreases the valency of the verb by omission of (at least) the direct object? In ergative languages this would mean that the ergative agent becomes absolutive, if the marker is applied to a transitive verb.	Is there a marker on the verb that decreases the valency of the verb by omission of (at least) the direct object? In ergative languages this would mean that the ergative agent becomes absolutive, if the marker is applied to a transitive verb.		Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound		in progress	Existe-t-il une construction morphologique d’anti-passif ?	clause, verb	derivation, valency change	affixation and cliticization, infixation, tone, alternation, reduplication		148	Sahul	keepers		word	keep identical copy	add complenting		y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.				morphological marking includes some verbal affixation or some periphrastic element in the VP or clause	morphological marking includes some verbal affixation or some periphrastic element in the VP or clause			4.2a.02	Is there a morphologically marked antipassive?	Is there a morphologically marked antipassive?	{'1': <DomainElement 'GB148-1'>, '0': <DomainElement 'GB148-0'>, '2': <DomainElement 'GB148-2'>, '3': <DomainElement 'GB148-3'>, '?': <DomainElement 'GB148-?'>}
GB149	Hedvigs_thematic_order037	Is there a morphologically marked inverse?	1: present;3:y;2:n;0: absent	"The definition of a direct–inverse language is a matter under research, but it is widely understood to involve different grammar for transitive predicates according to the orders of their ""subject"" and their ""object"" on a person hierarchy, which in turn is some combination of saliency and animacy specific to a given language. The direct construction is the unmarked one. The direct construction is used when the subject of the transitive clause outranks the object in the person hierarchy, and the inverse is used when the object outranks the subject."	"The definition of a direct–inverse language is a matter under research, but it is widely understood to involve different grammar for transitive predictions according to the relative positions of their ""subject"" and their ""object"" on a person hierarchy, which in turn is some combination of saliency and animacy specific to a given language. The direct construction is the unmarked one. The direct construction is used when the subject of the transitive clause outranks the object in the person hierarchy, and the inverse is used when the object outranks the subject."		Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound		in progress	Existe-t-il une inversion marquée morphologiquement?	clause, verb	derivation, valency change	affixation and cliticization, infixation, tone, alternation, reduplication		149	Sahul	keepers			keep identical copy			y	NTS									Not misunderstandings but just lack of knowledge		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.				i.e. different marking by verbal affixation or pronominal clitics referring to A and O, depending on person, animacy or definiteness	i.e. different marking by verbal affixation or pronominal clitics referring to A and O, depending on person, animacy or definiteness			4.2a.03	Is there a morphologically marked inverse?	Is there a morphologically marked inverse?	{'1': <DomainElement 'GB149-1'>, '0': <DomainElement 'GB149-0'>, '3': <DomainElement 'GB149-3'>, '2': <DomainElement 'GB149-2'>, '?': <DomainElement 'GB149-?'>}
GB150	Hedvigs_thematic_order017	Is there clause chaining?	5:?;0: absent;4:no data;1: present;2:y;3:n	"Clause-chaining here is not just juxtapositioning of minimal clauses with no connectors, but chains of morphologically stripped-down medial clauses which are dependent on a single clause usually, but not necessarily, final.  ""Clause-Chains (a.k.a Topic Chains, Medial Clauses, etc.) are long series of verbs and verb phrases with incomplete marking (medial clauses) followed by one fully specified verb which provides the missing categories. Only the final verb form may occur freely. Medial verbs are dependent on an independent form."" (Weisser 2013:1)"	"Clause-chaining here is not just juxtapositioning of minimal clauses with no connectors, but chains of morphologically stripped-down medial clauses which are dependent on a single clause usually, but not necessarily, final.   ""Clause-Chains (a.k.a Topic Chains, Medial Clauses, etc.) are long series of verbs and verb phrases with incomplete marking (medial clauses) followed by one fully specified verb which provides the missing categories. Only the final verb form may occur freely. Medial verbs are dependent on an independent form."" (Weisser 2013:1)"		Not mentioned, Hard to distinguish from serial verb constructions		in progress	Existe-t-il des enchainements de clauses?	clause, verb	predication	specialized construction		150	Sahul	keepers	Hard to apply consistenly accross a global sample by muliple coders in a productive way		keep identical copy				NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.				i.e. chains of morphologically stripped-down medial clauses which are dependent on a single clause usually, but not necessarily, final	(i.e. chains of morphologically stripped-down medial clauses which are dependent on one final clause for their TAM or participant marking specification)			4.3.01	Is there clause chaining?	Is there clause chaining?	{'0': <DomainElement 'GB150-0'>, '3': <DomainElement 'GB150-3'>, '5': <DomainElement 'GB150-5'>, '?': <DomainElement 'GB150-?'>, '1': <DomainElement 'GB150-1'>, '2': <DomainElement 'GB150-2'>, '4': <DomainElement 'GB150-4'>}
GB151	Hedvigs_thematic_order0173	Is there a morphologically-marked switch reference system?	1: present;3:y;2:n;0: absent	Is there a marker, usually on the verb, that marks if the argument has the same referent as an argument of the following clause.	Is there a marker, usually on the verb, that marks if the argument has the same referent as an argument of the following clause.		Not mentioned		in progress	Existe-t-il un système de « switch-reference » marqué morphologiquement?	sentence, clause, verb, noun, NP	argument marking - core	affixation and cliticization, infixation, tone, alternation, reduplication		151	Sahul	keepers			keep identical copy			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.								4.3.02	Is there a morphologically-marked switch reference system?	Is there a morphologically-marked switch reference system?	{'1': <DomainElement 'GB151-1'>, '0': <DomainElement 'GB151-0'>, '3': <DomainElement 'GB151-3'>, '2': <DomainElement 'GB151-2'>, '?': <DomainElement 'GB151-?'>}
GB152	Hedvigs_thematic_order0109	Is there a morphologically marked distinction between simultaneous and sequential clauses?	4:?;1: present;2:y;3:n;0: absent	This question is concerned with verbal marking. If sequentially is a secondary function of a imperfective aspect this does not count, it needs to be a devoted marker. The language does not need to express both overtly, one marker devoted to either function will do.	This question is concerned with verbal marking. If sequentially is a secondary function of a imperfective aspect this does not count, it needs to be a devoted marker. The language does not need to express both overtly, one marker devoted to either function will do.		Not mentioned, There is a marker adjacent to the verb but not treated as morphologically bound		in progress	Existe-t-il une distinction morphologique entre clauses simultanées et séquentielles?	sentence, clause, verb	TAM, sequentiality	conjugation, specialized construction		152	Sahul	keepers	Hard to apply consistenly accross a global sample by muliple coders in a productive way	word	add hyper			y	NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00				Don't count if only in the background, i.e. imperfective aspects. this needs to be on the verb.		4.3.03	Is there a morphologically marked distinction between simultaneous and sequential clauses?	Is there a morphologically marked distinction between simultaneous and sequential clauses?	{'0': <DomainElement 'GB152-0'>, '3': <DomainElement 'GB152-3'>, '?': <DomainElement 'GB152-?'>, '1': <DomainElement 'GB152-1'>, '2': <DomainElement 'GB152-2'>, '4': <DomainElement 'GB152-4'>}
GB153		Is the verb 'say' or a quotative construction used in desiderative constructions?	1:?;2:y;0:n																																										Is the verb 'say' or a quotative construction used in desiderative constructions?	{'1': <DomainElement 'GB153-1'>, '0': <DomainElement 'GB153-0'>, '2': <DomainElement 'GB153-2'>, '?': <DomainElement 'GB153-?'>}
GB154		Are causatives formed by serial verb constructions?	2:?;0:y;1:n																																										Are causatives formed by serial verb constructions?	{'1': <DomainElement 'GB154-1'>, '0': <DomainElement 'GB154-0'>, '2': <DomainElement 'GB154-2'>, '?': <DomainElement 'GB154-?'>}
GB155	Hedvigs_thematic_order027	Are causatives formed by affixes/clitics?	1: present;3:y;2:n;0: absent				Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que les causatives sont formes par des affixes?	verb	causative, valency change, derivation	affixation and cliticization, infixation		155	Sahul	keepers			keep identical copy			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.								4.4.02	Are causatives formed by bound affixes/clitics?	Are causatives formed by affixes/clitics?	{'1': <DomainElement 'GB155-1'>, '0': <DomainElement 'GB155-0'>, '3': <DomainElement 'GB155-3'>, '2': <DomainElement 'GB155-2'>, '?': <DomainElement 'GB155-?'>}
GB156	Hedvigs_thematic_order028	Are causatives formed by constructions involving 'say'?	1: present;2:n;0: absent				Not mentioned		in progress	Les causatifs, sont-ils formés par une construction impliquant le verbe ‘dire’ ?	verb, serial verb construction	causative, valency change, derivation, predication	specialized construction		156	Sahul	keepers			delete				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.								4.4.03	Are causatives formed by constructions involving 'say'?	Are causatives formed by constructions involving 'say'?	{'1': <DomainElement 'GB156-1'>, '0': <DomainElement 'GB156-0'>, '2': <DomainElement 'GB156-2'>, '?': <DomainElement 'GB156-?'>}
GB157	Hedvigs_thematic_order016	Is there tail-head linkage?	6:?;0: absent;5:no data;1: present;4:no d ata;2:y;3:n	"Tail-head linkage (THL) is a discourse pattern which consists in repeating, at the beginning of a new sentence, the main verbal root (with or without accompanying material) of the preceding sentence for discourse cohesion. This is a feature that is very striking if the language has it and it should be very evident in at least narratives. Sometimes so called ""Generic THL"" is included in typological surveys of THL, i.e. when the same verbal roots is not repeated but a generic verb (often 'do' or make'). If the language only displays Generic THL then it’s a no (0), it has to be a repetition of the exact same verbal root. Another potentially problematic issue is if the language only displays THL in instructional texts (recipes, rituals etc.). If that is the case, mark it down with a '?' and a comment."	"Tail-head linkage (THL) is a discourse pattern which consists in repeating, at the beginning of a new sentence, the main verbal root (with or without accompanying material) of the preceding sentence for discourse cohesion. This is a feature that is very striking if the language has it and it should be very evident in at least narratives. Sometimes so called ""Generic THL"" is included in typological surveys of THL, i.e. when the same verbal roots i not repeated but a generic verb (often 'do' or make'). If the language only displays Generic THL then it’s a no (0), it has to be a repetition of the exact same verbal root. Another potentially problematic issue is if the language only displays THL in instructional texts (recipes, rituals etc.). If that is the case, mark it down with a '?' and a comment."		Not mentioned		in progress	Existe-t-il un «tail-head linkage»?	sentence, clause, discourse	cohesion	specialized construction		157	Sahul	keepers	prone to misunderstandings and difficult to apply consistently		delete				NTS								Yes	Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00		i.e. a discourse strategy in which the final verb of one sentence is repeated as the first verb of the next sentence	(i.e. a discourse strategy in which the final verb of one sentence is repeated as the first verb of the next sentence)	If need be, read this: http://www.ddl.ish-lyon.cnrs.fr/fulltext/Guillaume/articles_pdf/Guillaume_2011_CavTHL_TSL_Proofs.pdf		4.5.03	Is there tail-head linkage?	Is there tail-head linkage?	{'0': <DomainElement 'GB157-0'>, '3': <DomainElement 'GB157-3'>, '5': <DomainElement 'GB157-5'>, '?': <DomainElement 'GB157-?'>, '6': <DomainElement 'GB157-6'>, '1': <DomainElement 'GB157-1'>, '2': <DomainElement 'GB157-2'>, '4': <DomainElement 'GB157-4'>}
GB158	Hedvigs_thematic_order0110	Are verbs reduplicated?	5:?;0: absent;4:no data;1: present;2:y;3:n	"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication count, but if there is only partial the language should be coded with a ""?"" and a comment. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone."	"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication counts, but if there is only partial the language should be coded with a ""?"" and a comment. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone."	Harald	Not mentioned, Some examples but not productive, Possible partial reduplication, There are instances of repeated verbs but that does not count as reduplication		in progress	Peut-on redoubler les verbes?	verb	number, TAM, derivation	reduplication		158	Sahul	keepers			replace with better formulation and definition				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, Anderson, Gregory D. S. (2011). Auxiliary verb constructions in the languages of Africa. Studies in African Linguistics, 40(1-2): 1-409.			We're counting partial too	Either partial or full reduplication counts	4.5.05	Are verbs reduplicated?	Are verbs reduplicated?	{'0': <DomainElement 'GB158-0'>, '3': <DomainElement 'GB158-3'>, '5': <DomainElement 'GB158-5'>, '?': <DomainElement 'GB158-?'>, '1': <DomainElement 'GB158-1'>, '2': <DomainElement 'GB158-2'>, '4': <DomainElement 'GB158-4'>}
GB159	Hedvigs_thematic_order0111	Are nouns reduplicated?	5:?;0: absent;4:no data;1: present;3:y;2:n	"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication count, but if there is only partial the language should be coded with a ""?"" and a comment. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone."	"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication counts, but if there is only reduplication of individual phonemes the language should be coded with a ""0"" and a comment. Reduplication of units larger than one phoneme, independent of whether they are morphemes or not, also counts as reduplication here. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone."	Harald	Not mentioned, Some examples but not productive, Possible partial reduplication, The prototypical noun 'book book' type reduplication is known to exist but not other types		in progress	Peut-on redoubler les noms?	noun	number, augmentative, diminutive, derivation	reduplication		159	Sahul	keepers	the features that deal with number list reduplication as one of the possibilites of marking		replace with better formulation and definition				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.						We're counting partial too	Either partial or full reduplication counts	4.5.06	Are nouns reduplicated?	Are nouns reduplicated?	{'0': <DomainElement 'GB159-0'>, '3': <DomainElement 'GB159-3'>, '5': <DomainElement 'GB159-5'>, '?': <DomainElement 'GB159-?'>, '1': <DomainElement 'GB159-1'>, '2': <DomainElement 'GB159-2'>, '4': <DomainElement 'GB159-4'>}
GB160	Hedvigs_thematic_order0112	Are elements apart from verbs or nouns reduplicated?	5:?;0: absent;3:no data;1: present;2:y;4:n	"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication count, but if there is only partial the language should be coded with a ""?"" and a comment. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone."	"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication counts, but if there is only reduplication of individual phonemes the language should be coded with a ""0"" and a comment. Reduplication of units larger than one phoneme, independent of whether they are morphemes or not, also counts as reduplication here. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone."	Harald	Not mentioned, Numerals are reduplicated, Adjectives are reduplicated but are arguably a type of verb, Possible partial reduplication		in progress	Peut-on redoubler des éléments autres que les verbes et les noms?	adjective, other lexeme	derivation, number, TAM	reduplication		160	Sahul	keepers			replace with better formulation and definition				NTS								Yes			Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.								4.5.07	Are elements apart from verbs or nouns reduplicated?	Are elements apart from verbs or nouns reduplicated?	{'0': <DomainElement 'GB160-0'>, '3': <DomainElement 'GB160-3'>, '5': <DomainElement 'GB160-5'>, '?': <DomainElement 'GB160-?'>, '1': <DomainElement 'GB160-1'>, '2': <DomainElement 'GB160-2'>, '4': <DomainElement 'GB160-4'>}
GB162		Is there a distinction between masculine and feminine in 1st person pronouns?	0:n																																										Is there a distinction between masculine and feminine in 1st person pronouns?	{'0': <DomainElement 'GB162-0'>, '?': <DomainElement 'GB162-?'>}
GB163		How many genders/noun classes are there?	4:n/a;3:?;2:n;1:2;0:several																																										How many genders/noun classes are there?	{'1': <DomainElement 'GB163-1'>, '0': <DomainElement 'GB163-0'>, '2': <DomainElement 'GB163-2'>, '3': <DomainElement 'GB163-3'>, '?': <DomainElement 'GB163-?'>}
GB165	Hedvigs_thematic_order0148	Can trial number be marked on the noun itself?	1: present;2:n;0: absent	This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.	This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.		Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound		in progress	Est-il possible de marquer le triel sur le nom lui-même?	noun	number	declension		(222:1 v 223:1 v 224:1 v 225:1 v 226:1) -> 165:1	Sahul	keepers			keep identical copy			y	NTS				tba		Y					Hedvig Skirgård, Harald Hammarström and Suzanne van der Meer			Yes, Di Garbo 2014: Types of number distinctions							Can trial number be marked on the noun itself?	{'1': <DomainElement 'GB165-1'>, '0': <DomainElement 'GB165-0'>, '2': <DomainElement 'GB165-2'>, '?': <DomainElement 'GB165-?'>}
GB166	Hedvigs_thematic_order0150	Can paucal number be marked on the noun itself?	1: present;2:n;0: absent	This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.	This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.		Not mentioned, The marker is adjacent to the noun but not treated as morphologically bound		in progress	Est-il possible de marquer le paucal sur le nom lui-même?	noun	number	declension		(227:1 v 228:1 v 229:1 v 230:1 v 231:1) -> 166:1	Sahul	keepers			keep identical copy			y	NTS				tba		Y					Hedvig Skirgård, Harald Hammarström and Suzanne van der Meer			Yes, Di Garbo 2014: Types of number distinctions							Can paucal number be marked on the noun itself?	{'1': <DomainElement 'GB166-1'>, '0': <DomainElement 'GB166-0'>, '2': <DomainElement 'GB166-2'>, '?': <DomainElement 'GB166-?'>}
GB167	Hedvigs_thematic_order0172	Are there logophoric pronouns for the 3rd person?	1: present;2:n;0: absent	Is there a pronoun that marks that the subject of a dependent clause is the same as the subject for the matrix clause? NB, this is a matter of 3rd person pronouns.	Is there a pronoun that marks that the subject of a dependent clause is the same as the subject for the matrix clause? NB, this is a matter of 3rd person pronouns.		Not mentioned		in progress	Existe-t-il des pronoms logophoriques pour la 3ème personne?	pronoun, discourse	cohesion	paradigm		167	NTS	keepers			keep identical copy				NTS				tba	Y				Yes		Hedvig Skirgård, Harald Hammarström and Suzanne van der Meer			Yes, Segerer's online database of african pronominal systems.			Independent pronouns, not affixes.				Are there logophoric pronouns for the 3rd person?	{'1': <DomainElement 'GB167-1'>, '0': <DomainElement 'GB167-0'>, '2': <DomainElement 'GB167-2'>, '?': <DomainElement 'GB167-?'>}
GB168		Is there a distinction between inanimate and animate in 3rd person singular pronouns?	0:y;1:n																																										Is there a distinction between inanimate and animate in 3rd person singular pronouns?	{'1': <DomainElement 'GB168-1'>, '0': <DomainElement 'GB168-0'>, '?': <DomainElement 'GB168-?'>}
GB169		Is there a distinction between masculine and feminine in 3rd person singular pronouns?	0:n																																										Is there a distinction between masculine and feminine in 3rd person singular pronouns?	{'0': <DomainElement 'GB169-0'>, '?': <DomainElement 'GB169-?'>}
GB170	Hedvigs_thematic_order0131	Can an attributive nominal modifier denoting a property concept agree with any gender/noun class of the noun it modifies?	3:n/a;1: present;2:n;0: absent	"Attributive nominal modifier is roughly equal to the old term ""adjective""."	"Attributive nominal modifier is roughly equal to the old term ""adjective""."		Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement		in progress	Un modificateur nominal attribut dénotant une qualité peut-il s’accorder en genrre/classe nominale à la tête d’un syntagme nominal?	adjective, NP	nominal classification	declension, agreement		56:0 -> 170:na	NTS	keepers			keep identical copy				NTS				tba		Y					Hedvig Skirgård, Harald Hammarström and Suzanne van der Meer			Yes, Di Garbo 2014: Gender agreement targets (NB we have to make sure what scope we are talking about when comparing.(			At least for one gender/noun class				Can an attributive nominal modifier denoting a property concept agree with any gender/noun class of the noun it modifies?	{'1': <DomainElement 'GB170-1'>, '0': <DomainElement 'GB170-0'>, '2': <DomainElement 'GB170-2'>, '?': <DomainElement 'GB170-?'>}
GB171	Hedvigs_thematic_order0126	Can an adnominal demonstrative agree in gender/noun class with the noun it modifies?	4:n/a;1: present;3:y;2:n;0: absent	Demonstratives can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number	Demonstratives can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number		Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement		in progress	Les démonstratifs peuvent-ils s'accorder en nombre à la tête du syntagme nominal?	demonstrative, NP	nominal classification	declension, agreement		56:0 -> 171:na	NTS	keepers			keep identical copy				NTS				tba		Y					Hedvig Skirgård, Harald Hammarström and Suzanne van der Meer			Yes, Di Garbo 2014: Gender agreement targets (NB we have to make sure what scope we are talking about when comparing.(			At least for one gender/noun class				Can an adnominal demonstrative agree in gender/noun class with the noun it modifies?	{'1': <DomainElement 'GB171-1'>, '0': <DomainElement 'GB171-0'>, '3': <DomainElement 'GB171-3'>, '2': <DomainElement 'GB171-2'>, '?': <DomainElement 'GB171-?'>}
GB172	Hedvigs_thematic_order0118	Can articles agree with the gender/noun class of the noun they modify?	3:n/a;1: present;2:n;0: absent	Articles can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number	Articles can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number		Not mentioned, An additional marker dependent on the gender of the noun is present but not called agreement, It is not clear whether it is an article		in progress	Les articles peuvent-ils s'accorder en genre/classe nominal avec la tête du syntagme nominal?	article, NP	nominal classification	declension, agreement		56:0 -> 172:na, (20:0 v 194:0 v 22:0 v 23:0) -> 172:0	NTS	keepers			keep identical copy				NTS				tba		Y					Hedvig Skirgård, Harald Hammarström and Suzanne van der Meer			Yes, Di Garbo 2014: Gender agreement targets (NB we have to make sure what scope we are talking about when comparing.(			At least for one gender/noun class				Can articles agree with the gender/noun class of the noun they modify?	{'1': <DomainElement 'GB172-1'>, '0': <DomainElement 'GB172-0'>, '2': <DomainElement 'GB172-2'>, '?': <DomainElement 'GB172-?'>}
GB173		Are noun class and number always marked by a portmanteau morpheme on the noun?	1:n/a;0:n																																										Are noun class and number always marked by a portmanteau morpheme on the noun?	{'0': <DomainElement 'GB173-0'>, '?': <DomainElement 'GB173-?'>}
GB174		Are noun class and number marked by a portmanteau morpheme on the noun in singular?	1:n/a;0:n																																										Are noun class and number marked by a portmanteau morpheme on the noun in singular?	{'0': <DomainElement 'GB174-0'>, '?': <DomainElement 'GB174-?'>}
GB175		Are noun class and number marked by a portmanteau morpheme on the noun in plural?	1:n/a;0:n																																										Are noun class and number marked by a portmanteau morpheme on the noun in plural?	{'0': <DomainElement 'GB175-0'>, '?': <DomainElement 'GB175-?'>}
GB176		Can agreement of gender/noun class and number be marked by a portmanteau morpheme on other items in the noun phrase?	1:n/a;0:n																																										Can agreement of gender/noun class and number be marked by a portmanteau morpheme on other items in the noun phrase?	{'0': <DomainElement 'GB176-0'>, '?': <DomainElement 'GB176-?'>}
GB177	Hedvigs_thematic_order0176	Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument?	4:?;1: present;2:y;3:n;0: absent	This system needs to be unrelated to the gender/noun class system.	This system needs to be unrelated to the gender/noun class system.		Not mentioned, Animacy is treated as a gender and therefore the question does not make sense, The marker is adjacent to the verb but not treated as morphologically bound		in progress	Est-il possible que le verbe porte un marqueur d’argument à caractère animé, sans rapport avec le genre/classe nominale de l’argument en question?	verb, classifier	nominal classification	conjugation, agreement		177	NTS	keepers			replace with better formulation and definition			y	NTS				tba	Y						Hedvig Skirgård, Harald Hammarström and Suzanne van der Meer			Yes, Di Garbo's database: Animate concord							Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument?	{'0': <DomainElement 'GB177-0'>, '3': <DomainElement 'GB177-3'>, '?': <DomainElement 'GB177-?'>, '1': <DomainElement 'GB177-1'>, '2': <DomainElement 'GB177-2'>, '4': <DomainElement 'GB177-4'>}
GB178		Are there several different singular genders/noun classes that can have the same plural gender/noun class?	1:n/a;0:n																																										Are there several different singular genders/noun classes that can have the same plural gender/noun class?	{'0': <DomainElement 'GB178-0'>, '?': <DomainElement 'GB178-?'>}
GB179		Are there genders/noun classes that cannot take number marking?	1:n/a;0:n																																										Are there genders/noun classes that cannot take number marking?	{'0': <DomainElement 'GB179-0'>, '?': <DomainElement 'GB179-?'>}
GB181		Is number marking obligatory on certain (types of) nouns?	3:n/a;1:?;2:y;0:n																																										Is number marking obligatory on certain (types of) nouns?	{'1': <DomainElement 'GB181-1'>, '0': <DomainElement 'GB181-0'>, '?': <DomainElement 'GB181-?'>}
GB182		Is number marking obligatory on animate nouns?	2:n/a;1:?;0:n																																										Is number marking obligatory on animate nouns?	{'1': <DomainElement 'GB182-1'>, '0': <DomainElement 'GB182-0'>, '?': <DomainElement 'GB182-?'>}
