ID,Parameter_ID,Language_ID,Feature,Code_ID,Answer,Comment,Source,Possible_Values,Suggested_standardised_comments
3393,GB140,kelo1247-bring,Are verbal and non-verbal predicates marked by the same negator?,3,y,,,2:n;1: present;0: absent;3:y;4:?,Not mentioned; A special negator or negative form of the verb is used for existential meanings; A special negator or negative form of the copula is used with nominal predicates; A special negator or negative form of the copula is used with predicative adjectives; Other negative forms but which are discounted by the clarifying comment
3394,GB141,kelo1247-bring,Are S and O conflated morphologically in at least some basic constructions; i.e. simple main clauses?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
3395,GB142,kelo1247-bring,Are S and A conflated morphologically in at least some basic constructions; i.e. simple main clauses?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
3396,GB143,kelo1247-bring,Are S and O conflated morphologically across clause boundaries; i.e. acting as syntactic pivot?,0,n,,,0:n;2:no data;1:y;3:?,
3397,GB144,kelo1247-bring,Are S and A conflated morphologically across clause boundaries; i.e. acting as syntactic pivot?,0,n,,,0:n;2:no data;1:y;3:?,
3398,GB145,kelo1247-bring,Do S and O operate in the same way; and differently from A; for the purpose of any syntactic construction?,0,y,,,1:n;0:y;2:?,
3399,GB146,kelo1247-bring,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; The experiencer is expressed as an object; Only for mental states and emotions; There are verbs with unusual case frames but not necessarily controlled versus uncontrolled
3400,GB147,kelo1247-bring,Is there a morphologically marked passive construction?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3401,GB148,kelo1247-bring,Is there a morphologically marked antipassive?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3402,GB149,kelo1247-bring,Is there a morphologically marked inverse?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3403,GB150,kelo1247-bring,Is there clause chaining?,3,n,,,0: absent;3:n;1: present;4:no data;2:y;5:?,Not mentioned; Hard to distinguish from serial verb constructions
3404,GB151,kelo1247-bring,Is there a morphologically-marked switch reference system?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned
3405,GB152,kelo1247-bring,Is there a morphologically marked distinction between simultaneous and sequential clauses?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; There is a marker adjacent to the verb but not treated as morphologically bound
3406,GB153,kelo1247-bring,Is the verb 'say' or a quotative construction used in desiderative constructions?,0,n,,,0:n;2:y;1:?,
3407,GB154,kelo1247-bring,Are causatives formed by serial verb constructions?,0,y,,,1:n;0:y;2:?,
3408,GB155,kelo1247-bring,Are causatives formed by affixes/clitics?,3,y,e.g. u- ,Baird 2008: 99,2:n;1: present;3:y;0: absent,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3409,GB156,kelo1247-bring,Are causatives formed by constructions involving 'say'?,2,n,,,2:n;1: present;0: absent,Not mentioned
3410,GB157,kelo1247-bring,Is there tail-head linkage?,2,y,,Baird 2008: 158 ,0: absent;3:n;1: present;5:no data;4:no d ata;2:y;6:?,Not mentioned
3411,GB158,kelo1247-bring,Are verbs reduplicated?,2,y,,,0: absent;3:n;1: present;4:no data;2:y;5:?,Not mentioned; Some examples but not productive; Possible partial reduplication; There are instances of repeated verbs but that does not count as reduplication
3412,GB159,kelo1247-bring,Are nouns reduplicated?,2,n,,,0: absent;2:n;1: present;4:no data;3:y;5:?,Not mentioned; Some examples but not productive; Possible partial reduplication; The prototypical noun 'book book' type reduplication is known to exist but not other types
3413,GB160,kelo1247-bring,Are elements apart from verbs or nouns reduplicated?,2,y,,,0: absent;4:n;1: present;3:no data;2:y;5:?,Not mentioned; Numerals are reduplicated; Adjectives are reduplicated but are arguably a type of verb; Possible partial reduplication
3414,GB162,kelo1247-bring,Is there a distinction between masculine and feminine in 1st person pronouns?,0,n,,,0:n,
3415,GB163,kelo1247-bring,How many genders/noun classes are there?,?,Not known,,,1:2;3:?;0:several;2:n,
3416,GB165,kelo1247-bring,Can trial number be marked on the noun itself?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
3417,GB166,kelo1247-bring,Can paucal number be marked on the noun itself?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
3418,GB167,kelo1247-bring,Are there logophoric pronouns for the 3rd person?,2,n,,,2:n;1: present;0: absent,Not mentioned
3419,GB168,kelo1247-bring,Is there a distinction between inanimate and animate in 3rd person singular pronouns?,1,n,,,1:n;0:y,
3420,GB169,kelo1247-bring,Is there a distinction between masculine and feminine in 3rd person singular pronouns?,0,n,,,0:n,
3421,GB170,kelo1247-bring,Can an attributive nominal modifier denoting a property concept agree with any gender/noun class of the noun it modifies?,?,Not known,,,2:n;1: present;0: absent,Not mentioned; An additional marker dependent on the gender of the noun is present but not called agreement
3422,GB171,kelo1247-bring,Can an adnominal demonstrative agree in gender/noun class with the noun it modifies?,?,Not known,,,2:n;1: present;3:y;0: absent,Not mentioned; An additional marker dependent on the gender of the noun is present but not called agreement
3423,GB172,kelo1247-bring,Can articles agree with the gender/noun class of the noun they modify?,?,Not known,,,2:n;1: present;0: absent,Not mentioned; An additional marker dependent on the gender of the noun is present but not called agreement; It is not clear whether it is an article
3424,GB173,kelo1247-bring,Are noun class and number always marked by a portmanteau morpheme on the noun?,?,Not known,,,0:n,
3425,GB174,kelo1247-bring,Are noun class and number marked by a portmanteau morpheme on the noun in singular?,?,Not known,,,0:n,
3426,GB175,kelo1247-bring,Are noun class and number marked by a portmanteau morpheme on the noun in plural?,?,Not known,,,0:n,
3427,GB176,kelo1247-bring,Can agreement of gender/noun class and number be marked by a portmanteau morpheme on other items in the noun phrase?,?,Not known,,,0:n,
3428,GB177,kelo1247-bring,Can the verb carry a marker of animacy of argument; unrelated to any gender/noun class of the argument?,3,n,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; Animacy is treated as a gender and therefore the question does not make sense; The marker is adjacent to the verb but not treated as morphologically bound
3429,GB178,kelo1247-bring,Are there several different singular genders/noun classes that can have the same plural gender/noun class?,?,Not known,,,0:n,
3430,GB179,kelo1247-bring,Are there genders/noun classes that cannot take number marking?,?,Not known,,,0:n,
3431,GB181,kelo1247-bring,Is number marking obligatory on certain (types of) nouns?,?,Not known,,,0:n;2:y;1:?,
3432,GB182,kelo1247-bring,Is number marking obligatory on animate nouns?,?,Not known,,,0:n;1:?,
3433,GB183,kelo1247-bring,Is number marking obligatory on human nouns?,?,Not known,,,0:n;1:?,
3434,GB184,kelo1247-bring,Can an attributive nominal modifier denoting a property concept agree with the number of the noun it modifies?,2,n,,,2:n;1: present;0: absent,Not mentioned; An additional marker dependent on the number of the noun is present but not called agreement
3435,GB185,kelo1247-bring,Can an adnominal demonstrative agree in number with the noun it modifies?,2,n,,,2:n;1: present;0: absent,Not mentioned; An additional marker dependent on the number of the noun is present but not called agreement
3436,GB186,kelo1247-bring,Can articles agree in number with the noun they modify?,?,Not known,,,2:n;1: present;0: absent,Not mentioned; An additional marker dependent on the number of the noun is present but not called agreement; It is not clear whether it is an article
3437,GB187,kelo1247-bring,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,?,Not known,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
3438,GB188,kelo1247-bring,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the noun but not treated as morphologically bound
3439,GB191,kelo1247-bring,Is there a morphologically marked middle voice construction?,0,n,,,0:n;1:?,
3440,GB192,kelo1247-bring,Are the noun's phonological properties relevant for any gender assignment?,?,Not known,,,2:n;1: present;0: absent,Not mentioned; There is gender and it is possible that phonology influences assignment
3441,GB193,kelo1247-bring,What is the order of noun and attributive nominal modifier denoting a property concept?,2,N - ANM,,needs-check,4:1;6:n att;0: they cannot be used attributively;2: N - ANM;5:2;3: both;1: ANM - N,Not mentioned; Certain adjectives take a different ordering; Adjectives can take either order
3442,GB194,kelo1247-bring,Are there indefinite or non-specific articles?,0,n,,,0:n;1:y,
3443,GB195,kelo1247-bring,Can a noun receive more than one noun class marker at the same time?,?,Not known,,,0:n,
3444,GB196,kelo1247-bring,Is there a gender distinction in 2nd person pronouns?,2,n,,,2:n;1: present;0: absent,Not mentioned
3445,GB197,kelo1247-bring,Is there a gender distinction in 1st person pronouns?,2,n,,,2:n;1: present;0: absent,Not mentioned
3446,GB198,kelo1247-bring,Can a numeral used attributively agree with any gender/noun class of the noun it modifies?,?,Not known,,,2:n;1: present;3:y;0: absent,Not mentioned; An additional marker dependent on the gender of the noun is present but not called agreement
3447,GB199,kelo1247-bring,Can verbs agree with the gender/noun class of the nominal object?,?,Not known,,,0:n;1:y,
3448,GB200,kelo1247-bring,Can verbs agree in number with the nominal object?,0,y,,,1:n;0:y;2:?,
3449,GB202,kelo1247-bring,Is there a distinction between masculine and feminine in 2nd person pronouns?,0,n,,,0:n,
3450,GB203,kelo1247-bring,"What is the order of the collective universal quantifier (""all"") and the noun?",2,N-UQ,iqal 'all',needs-check,6:3;0: no UQ;5:2;4:0;3: both;2: N-UQ;1: UQ-N;7:?,Not mentioned; 'All' does not modify the noun e.g. it is an adverb
3451,GB204,kelo1247-bring,Is there a distinction between collective ('all') and distributive ('every') universal quantifiers?,3,Not known,no data; tkad 'every',needs-check,0: absent;6:no;5:n;1: present;4:no data;2:y;3:?,Not mentioned
3452,GB205,kelo1247-bring,Is number marking prohibited on inanimate nouns?,?,Not known,,,0:n;1:?,
3453,GB206,kelo1247-bring,Is number marking prohibited on mass nouns?,?,Not known,,,0:n;1:?,
3454,GB207,kelo1247-bring,Is number marking optional on certain (types of) nouns?,?,Not known,,,0:n;1:y;2:?,
3455,GB208,kelo1247-bring,Can singular number be marked by a prefix on the noun?,?,Not known,,,0:n,
3456,GB209,kelo1247-bring,Can singular number be marked by a suffix on the noun?,?,Not known,,,0:n,
3457,GB210,kelo1247-bring,Can singular number be marked by suppletion on the noun?,?,Not known,,,0:n,
3458,GB211,kelo1247-bring,Can singular number be marked by tone alone on the noun?,?,Not known,,,0:n,
3459,GB212,kelo1247-bring,Can dual number be marked by a prefix on the noun?,?,Not known,,,0:n,
3460,GB213,kelo1247-bring,Can dual number be marked by a suffix on the noun?,?,Not known,,,0:n,
3461,GB214,kelo1247-bring,Can dual number be marked by suppletion on the noun?,?,Not known,,,0:n,
3462,GB215,kelo1247-bring,Can dual number be marked by tone alone on the noun?,?,Not known,,,0:n,
3463,GB216,kelo1247-bring,Can dual number be marked by reduplication on the noun?,?,Not known,,,0:n,
3464,GB217,kelo1247-bring,Can plural number be marked by a prefix on the noun?,?,Not known,,,0:n,
3465,GB218,kelo1247-bring,Can plural number be marked by a suffix on the noun?,?,Not known,,,0:n;1:y,
3466,GB219,kelo1247-bring,Can plural number be marked by suppletion on the noun?,?,Not known,,,0:n,
3467,GB220,kelo1247-bring,Can plural number be marked by tone alone on the noun?,?,Not known,,,0:n,
3468,GB221,kelo1247-bring,Can plural number be marked by reduplication on the noun?,?,Not known,,,0:n;1:y,
3469,GB222,kelo1247-bring,Can trial number be marked by a prefix on the noun?,?,Not known,,,0:n,
3470,GB223,kelo1247-bring,Can trial number be marked by a suffix on the noun?,?,Not known,,,0:n,
3471,GB224,kelo1247-bring,Can trial number be marked by suppletion on the noun?,?,Not known,,,0:n,
3472,GB225,kelo1247-bring,Can trial number be marked by tone alone on the noun?,?,Not known,,,0:n,
3473,GB226,kelo1247-bring,Can trial number be marked by reduplication on the noun?,?,Not known,,,0:n,
3474,GB227,kelo1247-bring,Can paucal number be marked by a prefix on the noun?,?,Not known,,,0:n,
3475,GB228,kelo1247-bring,Can paucal number be marked by a suffix on the noun?,?,Not known,,,0:n,
3476,GB229,kelo1247-bring,Can paucal number be marked by suppletion on the noun?,?,Not known,,,0:n,
3477,GB230,kelo1247-bring,Can paucal number be marked by tone alone on the noun?,?,Not known,,,0:n,
3478,GB231,kelo1247-bring,Can paucal number be marked by reduplication on the noun?,?,Not known,,,0:n,
3479,GB232,kelo1247-bring,Can diminutive be marked by a prefix on the noun?,?,Not known,,,0:n,
3480,GB234,kelo1247-bring,Can diminutive be marked by a suffix on the noun?,?,Not known,,,0:n,
3481,GB235,kelo1247-bring,Can diminutive be marked by suppletion on the noun?,?,Not known,,,0:n,
3482,GB236,kelo1247-bring,Can diminutive be marked by tone on the noun?,?,Not known,,,0:n,
3483,GB237,kelo1247-bring,Can diminutive be marked by reduplication on the noun?,?,Not known,,,0:n,
3484,GB238,kelo1247-bring,Can diminutive be marked by noun class selection?,?,Not known,,,0:n,
3485,GB239,kelo1247-bring,Can augmentative be marked by a prefix on the noun?,?,Not known,,,0:n,
3486,GB240,kelo1247-bring,Can augmentative be marked by a suffix on the noun?,?,Not known,,,0:n,
3487,GB241,kelo1247-bring,Can augmentative be marked by suppletion on the noun?,?,Not known,,,0:n,
3488,GB242,kelo1247-bring,Can augmentative be marked by tone on the noun?,?,Not known,,,0:n,
3489,GB243,kelo1247-bring,Can augmentative be marked by reduplication on the noun?,?,Not known,,,0:n,
3490,GB244,kelo1247-bring,Can augmentative be marked by noun class selection?,0,n,,,0:n,
3491,GB245,kelo1247-bring,Can gender/noun class be marked by a prefix on the noun?,?,Not known,,,0:n,
3492,GB246,kelo1247-bring,Can gender/noun class be marked by a suffix on the noun?,?,Not known,,,0:n,
3493,GB247,kelo1247-bring,Can gender/noun class be marked by suppletion on the noun?,?,Not known,,,0:n,
3494,GB248,kelo1247-bring,Can gender/noun class be marked by tone on the noun only?,?,Not known,,,0:n,
3495,GB249,kelo1247-bring,Are there variations in marking strategies of core participants?,1,y,,,0:n;1:y,
3496,GB250,kelo1247-bring,Can predicative possession be formed with a habeo-verb?,3,n,no data,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; The habeo verb is also an existential verb
3497,GB251,kelo1247-bring,Can predicative possession be formed by an intransitive construction with an locational/existential/copula predicate where the possessum is the subject?,0,y,Baird 2008: 140 using yeh 'exist';  'their names didn't exist'= they didn't have names,,1:n;0:y;2:?,
3498,GB252,kelo1247-bring,Can predicative possession be formed with a locative possessive?,3,n,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
3499,GB253,kelo1247-bring,Can predicative possession be formed with a dative possessive?,3,n,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
3500,GB254,kelo1247-bring,Can predicative possession be formed with a genitive possessive?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
3501,GB255,kelo1247-bring,Can predicative possession be formed with a topic possessive?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned
3502,GB256,kelo1247-bring,Can predicative possession be formed with a conjunctional possessive?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned
3503,GB257,kelo1247-bring,Can polar interrogation be marked by intonation only?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; The question particle carries tone but this might also be intonation
3504,GB258,kelo1247-bring,Is the polar interrogative intonation rising?,0,y,,,2:no data;0:y;1:?,
3505,GB259,kelo1247-bring,Is the polar interrogative intonation falling?,0,n,,,0:n;2:no data;3:y;1:?,
3506,GB260,kelo1247-bring,Can polar interrogation be marked by change in word order only?,2,n,,,2:n;1: present;0: absent,Not mentioned
3507,GB261,kelo1247-bring,Can polar interrogation be marked by a particle only?,1,y,discourse marker =(w)e; negator nang can be used as tag 'or not?',Baird 2008: 126-127,0:n;1:y;2:?,
3508,GB262,kelo1247-bring,Is there a clause-initial polar interrogative particle?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned; The elements used in polar interrogation are distributed over the clause
3509,GB263,kelo1247-bring,Is there a clause-final polar interrogative particle?,2,y,,,4:n;1: present;0: absent;2:y;3:?,Not mentioned; The elements used in polar interrogation are distributed over the clause
3510,GB264,kelo1247-bring,Is there a clause-medial polar interrogative particle?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned; The elements used in polar interrogation are distributed over the clause
3511,GB265,kelo1247-bring,"Can comparative constructions be construed with a verb meaning ""surpass"" or ""exceed""?",3,n,,,0: absent;3:n;1: present;2:no data;4:y;5:?,Not mentioned
3512,GB266,kelo1247-bring,Can comparative constructions be construed with a locative comparative?,3,y,?mi?,,0: absent;2:n;1: present;4:no data;3:y;5:?,Not mentioned
3513,GB267,kelo1247-bring,Can comparative constructions be construed with a from-comparative?,0,n,,,0:n;1:no data;2:y;3:?,
3514,GB268,kelo1247-bring,Can comparative constructions be construed with a to-comparative?,0,n,,,0:n;2:no data;1:y;3:?,
3515,GB269,kelo1247-bring,Can comparative constructions be construed with a benefactive comparative?,0,n,,,0:n;1:no data;2:?,
3516,GB270,kelo1247-bring,Can comparative constructions be construed with conjoined clauses?,4,n,,,0: absent;4:n;1: present;2:no data;3:y;5:?,Not mentioned
3517,GB271,kelo1247-bring,Are the predicates in the conjoined comparative construction antonyms?,?,Not known,,,1:n;0:no data;3:y;2:?,
3518,GB272,kelo1247-bring,Do the  predicates in the conjoined comparative construction differ in polarity?,?,Not known,,,1:n;0:no data;3:y;2:?,
3519,GB273,kelo1247-bring,Can comparative constructions be construed with a particle?,2,n,,,0: absent;2:n;1: present;3:no data;4:y;5:?,Not mentioned
3520,GB274,kelo1247-bring,Is the element marking the gradable property concepts in the comparative construction marked for comparison in any way?,2,y,mi-,,1:n;0:no data;2:y;3:?,
3521,GB275,kelo1247-bring,Is the element marking the property concept in the comparative construction marked by an affix indicating comparision or grading?,3,y,,,0: absent;2:n;1: present;4:no data;3:y;5:?,Not mentioned; The marker is adjacent to the property word but not treated as morphologically bound
3522,GB276,kelo1247-bring,Is the element marking the property concept in the comparative construction marked by a sepeare degree word indicating comparision or grading?,2,n,,,0: absent;2:n;1: present;4:no data;3:y;5:?,Not mentioned; The marker is adjacent to the property word but not treated as morphologically bound
3523,GB277,kelo1247-bring,Can comparative constructions be construed with a at-comparative?,1,y,?mi?,,0:n;2:no data;1:y;3:?,
3524,GB278,kelo1247-bring,Is there variation in conflation of arguments marking core participants?,0,y,,,1:n;2:no data;0:y;3:?,
3525,GB279,kelo1247-bring,Is there variation in conflation of core participants based on TAM distinctions?,2,n,,,2:n;1: present;3:no data;0: absent;4:?,Not mentioned
3526,GB280,kelo1247-bring,Are variation in conflation of core participants based on verb classes?,1,n,,,1:n;2:no data;0:y;3:?,
3527,GB281,kelo1247-bring,Is there variation in conflation of core participants based on clause type; e.g. main vs. subordinate?,2,n,,,2:n;1: present;3:no data;0: absent;4:?,Not mentioned
3528,GB282,kelo1247-bring,Are variation in conflation of core participants based on person distinctions?,1,n,,,1:n;2:no data;0:y;3:?,
3529,GB283,kelo1247-bring,Can verbs agree with the gender/noun class of the nominal subject?,?,Not known,,,0:n;1:y,
3530,GB284,kelo1247-bring,Can verbs agree with the number of the nominal subject?,0,n,,,0:n;1:y;2:?,
3531,GB285,kelo1247-bring,Can polar interrogation be marked by a question particle and verbal morphology?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3532,GB286,kelo1247-bring,Can polar interrogation be marked by verbal morphology only?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3533,GB287,kelo1247-bring,Can recipients be treated as a transitive object; i.e. as Direct Object in terms of case marking?,0,n,,,1:y?;0:n,
3534,GB288,kelo1247-bring,Can recipients be treated as a transitive object; i.e. as Direct Object in terms of core argument marking by adpositions?,0,n,,,0:n,
3535,GB289,kelo1247-bring,Can recipients be treated as a transitive object; i.e. as Direct Object in terms of verbal agreement marking?,1,y,,,0:n;1:y;2:?,
3536,GB290,kelo1247-bring,Can recipients be treated as a transitive object; i.e. as Direct Object in terms of verbal person marking (not agreement)?,0,y,,,1:n;0:y,
3537,GB291,kelo1247-bring,Can polar interrogation be marked by tone?,2,n,,,2:n;1: present;3:?;0: absent,Not mentioned; The question particle carries tone but this might also be intonation
3538,GB292,kelo1247-bring,Is the particle marking polar interrogation not tone?,0,y,,,1:n;0:y;2:?,
3539,GB294,kelo1247-bring,Are there ideophones that depict sensory imagery beyond sound?,0,n,,,0:n;1:no data;2:?,
3540,GB295,kelo1247-bring,Can ideophones act like verbs?,1,n,,,1:n;2:no data;0:y;3:?,
3541,GB295,kelo1247-bring,Can ideophones act like verbs?,1,n,,,1:n;2:no data;0:y;3:?,
3542,GB296,kelo1247-bring,Is there a morphosyntactically definable class of ideophones (beyond sound)?,?,Not known,,,2:n;1: present;4:no data;0: absent;3:?,Not mentioned
3543,GB297,kelo1247-bring,Can polar interrogation be marked by a construction of the type “V Neg V”?,?,Not known,,,0: absent;1: present,Not mentioned
3544,GB298,kelo1247-bring,Can standard negation be marked by negative auxiliaries?,?,Not known,,,0: absent;1: present,Not mentioned; Unclear whether it should count as an auxiliary given that no verbs carry inflection
3545,GB299,kelo1247-bring,Can standard negation be marked by a freestanding particle?,?,Not known,,,0: absent;1: present,Not mentioned
3546,GB300,kelo1247-bring,Is there a verb for the function 'give' that is suppletive for any grammatical category?,?,Not known,,,0: absent;1: present,Not mentioned
3547,GB301,kelo1247-bring,Does the language have inclusory constructions productively?,?,Not known,,,0: absent;1: present,Not mentioned
3548,GB302,kelo1247-bring,Is there a dedicated; obligatory and productive construction that marks passive voice; not morphologically on the verb nor on the A argument?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but it is unclear whether it is morphologically bound
3549,GB303,kelo1247-bring,Is there a dedicated; obligatory; productive construction that marks antipassive voice; not morphologically on the verb?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but it is unclear whether it is morphologically bound
3550,GB304,kelo1247-bring,Can the A argument be overtly expressed in a passive clause or be overtly marked to signal a passive clause?,?,Not known,,,0: absent;1: present,Not mentioned
3551,GB305,kelo1247-bring,Are there phonologically independent reflexive pronouns?,?,Not known,,,0: absent;1: present,Not mentioned; Not clear if they are phonologically independent
3552,GB306,kelo1247-bring,Are there reciprocal pronouns that are not-bipartite?,?,Not known,,,0: absent;1: present,Not mentioned
3553,GB307,kelo1247-bring,Are there bipartite reciprocal pronouns?,?,Not known,,,0: absent;1: present,Not mentioned
3554,GB308,kelo1247-bring,Can tense be marked by a productive; obligatory and dedicated construction that is not morphologically bound to the verb?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3555,GB309,kelo1247-bring,Are there multiple past or future tenses; distinguishing distance from Time of Reference; in any form?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3556,GB310,kelo1247-bring,Can aspect be marked by a productive; obligatory and dedicated construction that is not morphologically bound to the verb?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3557,GB311,kelo1247-bring,Can mood be marked by a productive; obligatory and dedicated construction that is not morphologically bound to the verb?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3558,GB312,kelo1247-bring,Can modal distinctions be marked on the verb; productively; dedicatedly and obligatorily?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
3559,GB313,kelo1247-bring,Are there possessive pronouns?,?,Not known,,,0: absent;1: present,Not mentioned
3560,GB314,kelo1247-bring,Can augmentative be marked productively by a system of nominal classification?,?,Not known,,,0: absent;1: present,Not mentioned
3561,GB315,kelo1247-bring,Can diminutive be marked productively by a system of nominal classification?,?,Not known,,,0: absent;1: present,Not mentioned
3562,GB316,kelo1247-bring,Can singular number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
3563,GB317,kelo1247-bring,Can dual number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
3564,GB318,kelo1247-bring,Can plural number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
3565,GB319,kelo1247-bring,Can trial number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
3566,GB320,kelo1247-bring,Can paucal number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
3567,GB321,kelo1247-bring,Is there an open class of noun stems that are assigned to gender/noun class categories arbitrarily?,?,Not known,,,0: absent;1: present,Not mentioned; There may be a gender or noun class system but it seems to be semantic
3568,GB322,kelo1247-bring,Does the language encode direct evidentiality (perceived with senses)?,?,Not known,,,0: absent;1: present,Not mentioned
3569,GB323,kelo1247-bring,Does the language encode indirect evidentiality (hearsay; inference; etc.)?,?,Not known,,,0: absent;1: present,Not mentioned
3570,GB324,kelo1247-bring,Are some content interrogatives (who?; what?; etc.) expressed in interrogative verbs?,?,Not known,,,0: absent;1: present,Not mentioned
3571,GB325,kelo1247-bring,Is there a count/mass distinction in content interrogatives (e.g. English how many vs. how much)?,?,Not known,,,0: absent;1: present,Not mentioned
3572,GB326,kelo1247-bring,Do (nominal) content interrogatives normally or frequently occur in situ (i.e. in the normal position for a non-interrogative NP in the same participant role)?,?,Not known,,,0: absent;1: present,Not mentioned
3573,GB327,kelo1247-bring,Can the relative clause follow the noun?,?,Not known,,,0: absent;1: present,Not mentioned
3574,GB328,kelo1247-bring,Can the relative clause precede the noun?,?,Not known,,,0: absent;1: present,Not mentioned
3575,GB329,kelo1247-bring,Are there internally-headed relative clauses?,?,Not known,,,0: absent;1: present,Not mentioned
3576,GB330,kelo1247-bring,Are there correlative relative clauses?,?,Not known,,,0: absent;1: present,Not mentioned
3577,GB331,kelo1247-bring,Are there adjoined relative clauses?,?,Not known,,,0: absent;1: present,Not mentioned
3578,GB332,kelo1247-bring,Are there double-headed relative clauses?,?,Not known,,,0: absent;1: present,Not mentioned
3579,GB333,kelo1247-bring,Is there a decimal counting system?,2,y,,,0: absent;1: present;2:y,Not mentioned
3580,GB334,kelo1247-bring,Is there synchronic evidence for any element of a quinary counting system?,?,Not known,,,0: absent;1: present,Not mentioned
3581,GB335,kelo1247-bring,Is there synchronic evidence for any element of a vigesimal counting system?,?,Not known,,,0: absent;1: present,Not mentioned
3582,GB336,kelo1247-bring,Is there a body-part tallying system?,2,n,,,2:n;1: present;0: absent,Not mentioned
3583,GB502,kelo1247-bring,What is the relative position of possessor pronoun and possessed in the attributive possessive construction?,1,n pospro,,needs-check,0:1;2:2;1:n pospro,
3584,GB503,kelo1247-bring,Are S and A marked by the same affix/clitic?,?,Not known,,,1:n;0:y,
3585,GB508,kelo1247-bring,Are there core adjectives (elements denoting property concepts) that act like nouns?,0,n,,,0:n,
3586,GB509,kelo1247-bring,Are demonstratives used pronominally?,0,y,Baird 2008: 61,,1:n;0:y;2:?,
3587,GB510,kelo1247-bring,Are demonstratives used adnominally?,0,y,,,0:y,
3588,GB511,kelo1247-bring,Do demonstratives encode elevation?,1,n,,,1:n;0:y;2:?,
